Id,Area,Bedrooms,Bathrooms,Stories,Mainroad,Guestroom,Basement,Hotwaterheating,Airconditioning,Parking,Prefarea,Furnishingstatus,Price
1,1360.0,5.0,4.0,3,Yes,Yes,Yes,No,No,0.0,No,furnished,2123811.997428537
2,4272.0,5.0,4.0,3,Yes,Yes,No,Yes,Yes,2.0,Yes,semi-furnished,6513152.892643071
3,3592.0,2.0,2.0,3,Yes,No,No,Yes,Yes,1.0,Yes,semi-furnished,5424905.607798762
4,966.0,4.0,2.0,2,Yes,No,No,No,Yes,3.0,Yes,semi-furnished,1474754.2620237593
5,4926.0,1.0,4.0,2,No,No,Yes,No,No,1.0,No,unfurnished,7409479.881430049
6,3944.0,1.0,2.0,1,Yes,Yes,No,Yes,No,0.0,No,semi-furnished,5998670.733190866
7,3671.0,1.0,1.0,2,Yes,Yes,Yes,Yes,No,2.0,Yes,unfurnished,5496327.574852641
8,3419.0,2.0,4.0,1,No,Yes,Yes,Yes,No,2.0,No,semi-furnished,5169505.582432551
9,630.0,2.0,2.0,1,Yes,No,No,No,No,1.0,No,unfurnished,1021270.668805049
10,2185.0,3.0,3.0,1,Yes,Yes,No,Yes,Yes,1.0,No,unfurnished,3306505.135164311
11,1269.0,1.0,4.0,2,No,Yes,No,No,No,2.0,No,unfurnished,1878962.0099734731
12,2891.0,4.0,4.0,3,Yes,No,Yes,No,No,0.0,Yes,semi-furnished,4345640.054714062
13,2933.0,4.0,3.0,2,No,No,Yes,Yes,No,3.0,Yes,semi-furnished,4438615.720724723
14,1684.0,1.0,1.0,1,Yes,No,Yes,No,Yes,3.0,No,unfurnished,2505741.3049522014
15,3885.0,1.0,3.0,1,Yes,Yes,Yes,Yes,No,1.0,No,semi-furnished,5873243.34674525
16,4617.0,1.0,4.0,2,Yes,No,Yes,No,No,2.0,No,unfurnished,6960862.882136198
17,3404.0,2.0,1.0,1,No,Yes,Yes,No,No,2.0,Yes,semi-furnished,5088323.254240032
18,974.0,2.0,2.0,1,No,Yes,No,No,Yes,2.0,Yes,unfurnished,1459092.982154827
19,1582.0,2.0,2.0,2,No,No,Yes,No,Yes,0.0,No,unfurnished,2427802.809861737
20,3058.0,5.0,2.0,2,No,No,No,No,No,1.0,No,furnished,4650863.181113977
21,2547.0,4.0,4.0,2,Yes,No,No,No,No,1.0,No,semi-furnished,3909172.6268878113
22,3247.0,4.0,3.0,1,No,No,No,Yes,No,1.0,No,semi-furnished,4947880.215367057
23,1475.0,3.0,1.0,1,No,No,No,Yes,No,0.0,Yes,furnished,2224489.585920535
24,2306.0,2.0,2.0,3,No,Yes,No,No,Yes,1.0,Yes,unfurnished,3506639.361313371
25,689.0,5.0,1.0,3,Yes,Yes,Yes,Yes,No,3.0,Yes,unfurnished,1099757.0213219342
